clasificacion;descripcion;DESCRIPCION_LARGA||'XX'
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO, PASAJERO LESIONADO ACCIDENTE DE TRANSITO;V676 / OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO, PASAJERO LESIONADO ACCIDENTE DE TRANSITOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO, PERSONA QUE VIAJA FUERA VEHICULO LESIONADA ACCIDENTE DE TRANSITO;V677 / OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO, PERSONA QUE VIAJA FUERA VEHICULO LESIONADA ACCIDENTE DE TRANSITOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO, OCUPANTE SIN ESPECIFICACION, LESIONADO ACCIDENTE DE TRANSITO;V679 / OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR COLISION CON OBJETO FIJO O ESTACIONADO, OCUPANTE SIN ESPECIFICACION, LESIONADO ACCIDENTE DE TRANSITOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR ACCIDENTE DE TRANSPORTE SIN COLISION;V68 / OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR ACCIDENTE DE TRANSPORTE SIN COLISIONXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR ACCIDENTE DE TRANSPORTE SIN COLISION, CONDUCTOR LESIONADO ACCIDENTE NO DE TRANSITO;V680 / OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR ACCIDENTE DE TRANSPORTE SIN COLISION, CONDUCTOR LESIONADO ACCIDENTE NO DE TRANSITOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR ACCIDENTE DE TRANSPORTE SIN COLISION, PASAJERO LESIONADO ACCIDENTE NO DE TRANSITO;V681 / OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR ACCIDENTE DE TRANSPORTE SIN COLISION, PASAJERO LESIONADO ACCIDENTE NO DE TRANSITOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR ACCIDENTE DE TRANSPORTE SIN COLISION, PERSONA QUE VIAJA FUERA VEHICULO LESIONADA ACCIDENTE NO DE TRANSITO;V682 / OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR ACCIDENTE DE TRANSPORTE SIN COLISION, PERSONA QUE VIAJA FUERA VEHICULO LESIONADA ACCIDENTE NO DE TRANSITOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR ACCIDENTE DE TRANSPORTE SIN COLISION, OCUPANTE SIN ESPECIFICACION, LESIONADO ACCIDENTE NO DE TRANSITO;V683 / OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR ACCIDENTE DE TRANSPORTE SIN COLISION, OCUPANTE SIN ESPECIFICACION, LESIONADO ACCIDENTE NO DE TRANSITOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR ACCIDENTE DE TRANSPORTE SIN COLISION, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULO;V684 / OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR ACCIDENTE DE TRANSPORTE SIN COLISION, PERSONA LESIONADA AL SUBIR O BAJAR DEL VEHICULOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR ACCIDENTE DE TRANSPORTE SIN COLISION, CONDUCTOR LESIONADO ACCIDENTE DE TRANSITO;V685 / OCUPANTE DE VEHICULO DE TRANSPORTE PESADO LESIONADO POR ACCIDENTE DE TRANSPORTE SIN COLISION, CONDUCTOR LESIONADO ACCIDENTE DE TRANSITOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN INSTITUCION RESIDENCIAL;W441 / CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN INSTITUCION RESIDENCIALXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN ESCUELAS Y OTRAS INSTITUCIONES Y AREAS DE ADMINISTRACION PUBLICA;W442 / CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN ESCUELAS Y OTRAS INSTITUCIONES Y AREAS DE ADMINISTRACION PUBLICAXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN AREAS DEPORTE Y ATLETISMO;W443 / CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN AREAS DEPORTE Y ATLETISMOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN CALLES Y CARRETERAS;W444 / CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN CALLES Y CARRETERASXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN COMERCIO Y AREA SERVICIOS;W445 / CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN COMERCIO Y AREA SERVICIOSXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN AREA INDUSTRIAL Y CONSTRUCCION;W446 / CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN AREA INDUSTRIAL Y CONSTRUCCIONXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN GRANJA;W447 / CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN GRANJAXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN OTRO LUGAR ESPECIFICADO;W448 / CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN OTRO LUGAR ESPECIFICADOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN LUGAR NO ESPECIFICADO;W449 / CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, EN LUGAR NO ESPECIFICADOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL;W45 / CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIELXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN VIVIENDA;W450 / CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN VIVIENDAXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN INSTITUCION RESIDENCIAL;W451 / CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN INSTITUCION RESIDENCIALXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN ESCUELAS Y OTRAS INSTITUCIONES Y AREAS DE ADMINISTRACION PUBLICA;W452 / CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN ESCUELAS Y OTRAS INSTITUCIONES Y AREAS DE ADMINISTRACION PUBLICAXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN AREAS DEPORTE Y ATLETISMO;W453 / CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN AREAS DEPORTE Y ATLETISMOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN CALLES Y CARRETERAS;W454 / CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN CALLES Y CARRETERASXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN COMERCIO Y AREA SERVICIOS;W455 / CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN COMERCIO Y AREA SERVICIOSXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN AREA INDUSTRIAL Y DE LA CONSTRUCCION;W456 / CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN AREA INDUSTRIAL Y DE LA CONSTRUCCIONXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN GRANJA;W457 / CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN GRANJAXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN OTRO LUGAR ESPECIFICADO;W458 / CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN OTRO LUGAR ESPECIFICADOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN LUGAR NO ESPECIFICADO;W459 / CUERPO EXTRAÑO QUE PENETRA A TRAVES DE LA PIEL, EN LUGAR NO ESPECIFICADOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);EXPOSICION A OTRAS FUERZAS MECANICAS INANIMADAS, Y LAS NO ESPECIFICADAS;W49 / EXPOSICION A OTRAS FUERZAS MECANICAS INANIMADAS, Y LAS NO ESPECIFICADASXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);EXPOSICION A OTRAS FUERZAS MECANICAS INANIMADAS, Y LAS NO ESPECIFICADAS, EN VIVIENDA;W490 / EXPOSICION A OTRAS FUERZAS MECANICAS INANIMADAS, Y LAS NO ESPECIFICADAS, EN VIVIENDAXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);EXPOSICION A OTRAS FUERZAS MECANICAS INANIMADAS, Y LAS NO ESPECIFICADAS, EN INSTITUCION RESIDENCIAL;W491 / EXPOSICION A OTRAS FUERZAS MECANICAS INANIMADAS, Y LAS NO ESPECIFICADAS, EN INSTITUCION RESIDENCIALXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);EXPOSICION A OTRAS FUERZAS MECANICAS INANIMADAS, Y LAS NO ESPECIFICADAS, EN ESCUELAS Y OTRAS INSTITUCIONES Y AREAS DE ADMINISTRACION PUBLICA;W492 / EXPOSICION A OTRAS FUERZAS MECANICAS INANIMADAS, Y LAS NO ESPECIFICADAS, EN ESCUELAS Y OTRAS INSTITUCIONES Y AREAS DE ADMINISTRACION PUBLICAXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);EXPOSICION A OTRAS FUERZAS MECANICAS INANIMADAS, Y LAS NO ESPECIFICADAS, EN AREAS DEPORTE Y ATLETISMO;W493 / EXPOSICION A OTRAS FUERZAS MECANICAS INANIMADAS, Y LAS NO ESPECIFICADAS, EN AREAS DEPORTE Y ATLETISMOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);EXPOSICION A OTRAS FUERZAS MECANICAS INANIMADAS, Y LAS NO ESPECIFICADAS, EN CALLES Y CARRETERAS;W494 / EXPOSICION A OTRAS FUERZAS MECANICAS INANIMADAS, Y LAS NO ESPECIFICADAS, EN CALLES Y CARRETERASXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);EXPOSICION A OTRAS FUERZAS MECANICAS INANIMADAS, Y LAS NO ESPECIFICADAS, EN COMERCIO Y AREA SERVICIOS;W495 / EXPOSICION A OTRAS FUERZAS MECANICAS INANIMADAS, Y LAS NO ESPECIFICADAS, EN COMERCIO Y AREA SERVICIOSXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA, EN ESCUEALAS Y OTRAS INSTITUCIONES Y AREAS DE ADMINISTRACION PUBLICA;Y182 / ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA, EN ESCUEALAS Y OTRAS INSTITUCIONES Y AREAS DE ADMINISTRACION PUBLICAXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA, EN AREAS DEPORTE Y ATLETISMO;Y183 / ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA, EN AREAS DEPORTE Y ATLETISMOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA, EN CALLES Y CARRETERAS;Y184 / ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA, EN CALLES Y CARRETERASXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA, EN COMERCIO Y AREA SERVICIOS;Y185 / ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA, EN COMERCIO Y AREA SERVICIOSXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA, EN AREA INDUSTRIAL Y CONSTRUCCION;Y186 / ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA, EN AREA INDUSTRIAL Y CONSTRUCCIONXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA, EN GRANJA;Y187 / ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA, EN GRANJAXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA, EN OTRO LUGAR ESPECIFICADO;Y188 / ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA, EN OTRO LUGAR ESPECIFICADOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA, EN LUGAR NO ESPECIFICADO;Y189 / ENVENENAMIENTO POR, Y EXPOSICION A PLAGUICIDAS, DE INTENCION NO DETERMINADA, EN LUGAR NO ESPECIFICADOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA;Y19 / ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADAXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA, EN VIVIENDA;Y190 / ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA, EN VIVIENDAXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA, EN INSTITUCION RESIDENCIAL;Y191 / ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA, EN INSTITUCION RESIDENCIALXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA,EN ESCUELAS Y OTRAS INSTITUCIONES Y AREAS DE ADMINISTRACION PUBLICA;Y192 / ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA,EN ESCUELAS Y OTRAS INSTITUCIONES Y AREAS DE ADMINISTRACION PUBLICAXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA, EN AREAS DEPORTE Y ATLETISMO;Y193 / ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA, EN AREAS DEPORTE Y ATLETISMOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA, EN CALLES Y CARRETERAS;Y194 / ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA, EN CALLES Y CARRETERASXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA, EN COMERCIO Y AREA SERVICIOS;Y195 / ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA, EN COMERCIO Y AREA SERVICIOSXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA, EN AREA INDUSTRIAL Y CONSTRUCCION;Y196 / ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA, EN AREA INDUSTRIAL Y CONSTRUCCIONXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA, EN GRANJA;Y197 / ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA, EN GRANJAXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA, EN OTRO LUGAR ESPECIFICADO;Y198 / ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA, EN OTRO LUGAR ESPECIFICADOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA, EN LUGAR NO ESPECIFICADO;Y199 / ENVENENAMIENTO POR, Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS, DE INTENCION NO DETERMINADA, EN LUGAR NO ESPECIFICADOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);AHORCAMIENTO, ESTRANGULAMIENTO Y SOFOCACION, DE INTENCION NO DETERMINADA;Y20 / AHORCAMIENTO, ESTRANGULAMIENTO Y SOFOCACION, DE INTENCION NO DETERMINADAXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION, EN AREA INDUSTRIAL Y CONSTRUCCION;X006 / EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION, EN AREA INDUSTRIAL Y CONSTRUCCIONXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION, EN GRANJA;X007 / EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION, EN GRANJAXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION, EN OTRO LUGAR ESPECIFICADO;X008 / EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION, EN OTRO LUGAR ESPECIFICADOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION, EN LUGAR NO ESPECIFICADO;X009 / EXPOSICION A FUEGO NO CONTROLADO EN EDIFICIO U OTRA CONSTRUCCION, EN LUGAR NO ESPECIFICADOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION;X01 / EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCIONXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION, EN VIVIENDA;X010 / EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION, EN VIVIENDAXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION, EN INSTITUCION RESIDENCIAL;X011 / EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION, EN INSTITUCION RESIDENCIALXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION, EN ESCUELAS Y OTRAS INSTITUCIONES Y AREAS DE ADMINISTRACION PUBLICA;X012 / EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION, EN ESCUELAS Y OTRAS INSTITUCIONES Y AREAS DE ADMINISTRACION PUBLICAXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION, EN AREAS DEPORTE Y ATLETISMO;X013 / EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION, EN AREAS DEPORTE Y ATLETISMOXx
CAUSAS EXTREMAS DE MORBILIDAD Y DE MORTALIDAD (V01-Y98);EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION, EN CALLES Y CARRETERAS;X014 / EXPOSICION A FUEGO NO CONTROLADO EN LUGAR QUE NO ES EDIFICIO U OTRA CONSTRUCCION, EN CALLES Y CARRETERASXx
